Reg_Address,Instruction
0,(0) A[0]
0,(52) B[1]
0,(10) B[3]
1,(3) A[1]
1,(39) B[2]
2,(6) A[2]
3,(9) A[3]
4,(12) A[4]
5,(16) A[5]
5,(55) B[2]
6,(19) A[6]
6,(77) B[4]
7,(22) A[7]
7,(29) B[4]
8,(25) A[8]
9,(28) A[9]
10,(32) A[10]
10,(65) B[0]
10,(17) B[0]
10,(71) B[2]
10,(13) B[4]
11,(35) A[11]
11,(7) B[2]
12,(38) A[12]
13,(41) A[13]
14,(44) A[14]
15,(48) A[15]
15,(36) B[1]
15,(23) B[2]
16,(51) A[16]
16,(58) B[3]
17,(54) A[17]
18,(57) A[18]
19,(60) A[19]
20,(64) A[20]
20,(4) B[1]
20,(42) B[3]
21,(67) A[21]
21,(74) B[3]
22,(70) A[22]
22,(45) B[4]
23,(73) A[23]
24,(76) A[24]
25,(1) B[0]
25,(20) B[1]
25,(61) B[4]
26,(49) B[0]
26,(68) B[1]
26,(26) B[3]
