Reg_Address,Instruction
0,(34) mul6.211
0,(89) add.sup.9
0,(90) add.sup.10
1,(66) mul6.419
1,(97) add.sup.17
1,(98) add.sup.18
2,(50) mul6.315
2,(93) add.sup.13
2,(94) add.sup.14
3,(2) mul6
3,(81) add.sup.1
3,(82) add.sup.2
4,(18) mul6.17
4,(85) add.sup.5
4,(86) add.sup.6
5,(37) mul6.1.2
6,(5) mul6.1
7,(69) mul6.1.4
8,(53) mul6.1.3
9,(21) mul6.1.1
10,(72) mul6.2.4
10,(8) mul6.2
10,(43) mul6.3.2
10,(88) add.sup.8
11,(24) mul6.2.1
11,(11) mul6.3
11,(80) add.sup.0
12,(27) mul6.3.1
12,(84) add.sup.4
13,(59) mul6.3.3
13,(92) add.sup.12
14,(75) mul6.3.4
14,(96) add.sup.16
15,(30) mul6.4.1
16,(78) mul6.4.4
16,(14) mul6.4
17,(62) mul6.4.3
